ID,Διεύθυνση ηλεκτρονικού ταχυδρομείου,Όνομα,Συνολικοί βαθμοί,Σχόλια για το κουίζ,Ώρα δημοσίευσης βαθμού,"Prior to the COVID-19 crisis, were you able to work from home?","Βαθμοί - Prior to the COVID-19 crisis, were you able to work from home?","Σχόλια - Prior to the COVID-19 crisis, were you able to work from home?",Βαθμοί - Did you receive any security guidelines from your employer regarding working from home?,Σχόλια - Did you receive any security guidelines from your employer regarding working from home?,Βαθμοί - Please describe the main (2-3) security guidelines provided.,Σχόλια - Please describe the main (2-3) security guidelines provided.,Devices,Βαθμοί - What kind of devices are you using to connect to your corporate working environment?,Σχόλια - What kind of devices are you using to connect to your corporate working environment?,Βαθμοί - Are these devices accessed by users other than yourself?,Σχόλια - Are these devices accessed by users other than yourself?,These devices are:,Βαθμοί - These devices are:,Σχόλια - These devices are:,Βαθμοί - Are these devices managed by your organization?,Σχόλια - Are these devices managed by your organization?,Βαθμοί - Which of the following apply for the devices you currently use for your working from home employment?,Σχόλια - Which of the following apply for the devices you currently use for your working from home employment?,Access_Type,Βαθμοί - How do you obtain access to your corporate working environment?,Σχόλια - How do you obtain access to your corporate working environment?,Βαθμοί - Please describe how you obtain access to your corporate working environment.,Σχόλια - Please describe how you obtain access to your corporate working environment.,Βαθμοί - How were you informed how to use them?,Σχόλια - How were you informed how to use them?,Has your company adopted a specific collaboration solution?,Βαθμοί - Has your company adopted a specific collaboration solution?,Σχόλια - Has your company adopted a specific collaboration solution?,What abilities does it offer?,Βαθμοί - What abilities does it offer?,Σχόλια - What abilities does it offer?,"Βαθμοί - Please name any other cyber-security threats you encountered during this period, not listed above.","Σχόλια - Please name any other cyber-security threats you encountered during this period, not listed above.",Βαθμοί - To what extent do you agree with the following statements:,Σχόλια - To what extent do you agree with the following statements:,I prefer working from home than going to the office.,Βαθμοί - I prefer working from home than going to the office.,Σχόλια - I prefer working from home than going to the office.,WFH_Productive,Βαθμοί - I work more productively from home.,Σχόλια - I work more productively from home.,I collaborate with my colleagues as effectively as when we are in office.,Βαθμοί - I collaborate with my colleagues as effectively as when we are in office.,Σχόλια - I collaborate with my colleagues as effectively as when we are in office.,Emp_Satisfaction_Crisis,Βαθμοί - I am satisfied by my employer’s approach to the crisis.,Σχόλια - I am satisfied by my employer’s approach to the crisis.,Tech_Support_Satisfactory,"Βαθμοί - I have all the support i need to face any technical problems i have (eg. corporate access issues,  infrastructure failures, etc.).","Σχόλια - I have all the support i need to face any technical problems i have (eg. corporate access issues,  infrastructure failures, etc.).",Emp_Satisfied_with_Approach,Βαθμοί - I am proud to work for my organization.,Σχόλια - I am proud to work for my organization.,I have access to the things I need to do my job well.,Βαθμοί - I have access to the things I need to do my job well.,Σχόλια - I have access to the things I need to do my job well.,Age_Range,Βαθμοί - What is your age?,Σχόλια - What is your age?,What is the highest degree or level of school you have completed?,Βαθμοί - What is the highest degree or level of school you have completed?,Σχόλια - What is the highest degree or level of school you have completed?,Please select the business domain of the organization you work for.,Βαθμοί - Please select the business domain of the organization you work for.,Σχόλια - Please select the business domain of the organization you work for.,Please specify which is the business domain of the organization you work for.,Βαθμοί - Please specify which is the business domain of the organization you work for.,Σχόλια - Please specify which is the business domain of the organization you work for.,Which of the following best describes your work position?,Βαθμοί - Which of the following best describes your work position?,Σχόλια - Which of the following best describes your work position?,Comments,Βαθμοί - Comments,Σχόλια - Comments
58,anonymous,,,,,No,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,No,,,,,,,,,,Undecided,,,Agree,,,Disagree,,,Agree,,,Agree,,,Undecided,,,Agree,,,25-34 years old,,,Master’s degree,,,Other,,,Digital Marketing and Advertising,,,Other,,,,,
59,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Teleconferencing;,,,,,,,Agree,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,45-54 years old,,,Master’s degree,,,IT (Information Technology),,,,,,IT professional,,,,,
60,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,No,,,,,,,,,,Agree,,,Agree,,,Undecided,,,Disagree,,,Strongly disagree,,,Undecided,,,Strongly disagree,,,55-64 years old,,,Bachelor’s degree,,,Banking & Financial,,,,,,Other,,,,,
61,anonymous,,,,,Yes,,,,,,,Desktop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,45-54 years old,,,Master’s degree,,,IT (Information Technology),,,,,,IT professional,,,,,
62,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Other,,,,,,,Yes,,,Other;,,,,,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Undecided,,,Strongly agree,,,75 years or older,,,Trade/technical/vocational training,,,Other,,,don't know,,,Other,,,,,
63,anonymous,,,,,Yes,,,,,,,Desktop;Laptop;Tablet;Smartphone;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Undecided,,,Disagree,,,Agree,,,Agree,,,Agree,,,Strongly agree,,,35-44 years old,,,Doctorate degree,,,Education & Research,,,,,,Manager,,,,,
64,anonymous,,,,,Yes,,,,,,,Desktop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Agree,,,Agree,,,Disagree,,,Strongly agree,,,Undecided,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,Education & Research,,,,,,Researcher,,,,,
65,anonymous,,,,,Yes,,,,,,,Desktop;Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Strongly agree,,,Strongly agree,,,Disagree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,IT (Information Technology),,,,,,IT professional,,,,,
66,anonymous,,,,,No,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Strongly disagree,,,Strongly disagree,,,Undecided,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Doctorate degree,,,Banking & Financial,,,,,,Other,,,,,
67,anonymous,,,,,No,,,,,,,Laptop;Smartphone;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Agree,,,Strongly agree,,,35-44 years old,,,Doctorate degree,,,Education & Research,,,,,,Other,,,,,
68,anonymous,,,,,Yes,,,,,,,Desktop;Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Undecided,,,Disagree,,,Undecided,,,Disagree,,,Disagree,,,Disagree,,,35-44 years old,,,Doctorate degree,,,EPES (Electrical Power & Energy Systems),,,,,,IT professional,,,,,
69,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Real-time chatting;Teleconferencing;Other;,,,,,,,Undecided,,,Agree,,,Disagree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,45-54 years old,,,Bachelor’s degree,,,Telecommunications,,,,,,Other,,,,,
70,anonymous,,,,,No,,,,,,,Laptop;Tablet;,,,,,Personal assets,,,,,,,Other,,,,,,,Yes,,,Real-time chatting;Teleconferencing;,,,,,,,Strongly disagree,,,Strongly disagree,,,Strongly disagree,,,Strongly disagree,,,Disagree,,,Agree,,,Disagree,,,35-44 years old,,,Bachelor’s degree,,,Health,,,,,,Other,,,,,
71,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Agree,,,Agree,,,Disagree,,,Agree,,,Disagree,,,Agree,,,Agree,,,35-44 years old,,,Doctorate degree,,,IT (Information Technology),,,,,,IT professional,,,,,
72,anonymous,,,,,No,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Strongly disagree,,,Strongly disagree,,,Strongly disagree,,,Disagree,,,Disagree,,,Agree,,,Agree,,,25-34 years old,,,Master’s degree,,,Transport,,,,,,Other,,,,,
73,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Agree,,,Undecided,,,Agree,,,Agree,,,Undecided,,,Agree,,,Agree,,,25-34 years old,,,Master’s degree,,,IT (Information Technology),,,,,,IT professional,,,,,
74,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Strongly agree,,,Agree,,,Agree,,,Strongly disagree,,,Strongly agree,,,Strongly disagree,,,Strongly agree,,,35-44 years old,,,Master’s degree,,,IT (Information Technology),,,,,,IT professional,,,,,
75,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Scheduling;Real-time chatting;Teleconferencing;Other;,,,,,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,35-44 years old,,,Master’s degree,,,IT (Information Technology),,,,,,IT professional,,,,,
76,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Agree,,,Agree,,,Undecided,,,Agree,,,Agree,,,Undecided,,,Strongly agree,,,35-44 years old,,,Master’s degree,,,IT (Information Technology),,,,,,IT professional,,,,,
77,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Agree,,,Disagree,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Master’s degree,,,IT (Information Technology),,,,,,IT professional,,,,,
78,anonymous,,,,,Yes,,,,,,,Desktop;Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Teleconferencing;,,,,,,,Undecided,,,Agree,,,Disagree,,,Strongly agree,,,Agree,,,Agree,,,Agree,,,35-44 years old,,,Master’s degree,,,Telecommunications,,,,,,IT professional,,,,,
79,anonymous,,,,,No,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,Yes,,,Document management;Real-time document co-authoring;Real-time chatting;Teleconferencing;,,,,,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,25-34 years old,,,Master’s degree,,,EPES (Electrical Power & Energy Systems),,,,,,Other,,,,,
80,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Disagree,,,Undecided,,,Undecided,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Master’s degree,,,Telecommunications,,,,,,Other,,,,,
81,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Direct access,,,,,,,Yes,,,Project/Workflow/Task management;Scheduling;Teleconferencing;,,,,,,,Undecided,,,Undecided,,,Agree,,,Strongly agree,,,Agree,,,Strongly agree,,,Agree,,,35-44 years old,,,Master’s degree,,,EPES (Electrical Power & Energy Systems),,,,,,Other,,,,,
82,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Direct access,,,,,,,Yes,,,Document management;,,,,,,,Agree,,,Agree,,,Disagree,,,Undecided,,,Undecided,,,Undecided,,,Agree,,,18-24 years old,,,"High school graduate, diploma or the equivalent",,,Other,,,Tourism,,,Other,,,,,
83,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Scheduling;Real-time chatting;,,,,,,,Undecided,,,Undecided,,,Disagree,,,Disagree,,,Undecided,,,Agree,,,Disagree,,,35-44 years old,,,Doctorate degree,,,IT (Information Technology),,,,,,Security professional,,,,,
84,anonymous,,,,,Yes,,,,,,,Desktop;Laptop;Tablet;Smartphone;,,,,,Personal assets,,,,,,,Direct access,,,,,,,Yes,,,Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Strongly disagree,,,Strongly disagree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,IT (Information Technology),,,,,,Manager,,,,,
85,anonymous,,,,,No,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Other;,,,,,,,Undecided,,,Disagree,,,Agree,,,Strongly agree,,,Agree,,,Agree,,,Strongly agree,,,35-44 years old,,,Master’s degree,,,Banking & Financial,,,,,,Manager,,,,,
86,anonymous,,,,,Yes,,,,,,,Desktop;Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,,,,,,,,Agree,,,Strongly agree,,,Strongly agree,,,Agree,,,Agree,,,Agree,,,Agree,,,,,,,,,IT (Information Technology),,,,,,IT professional,,,,,
87,anonymous,,,,,No,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Other;,,,,,,,Undecided,,,Disagree,,,Agree,,,Strongly agree,,,Agree,,,Agree,,,Agree,,,35-44 years old,,,Master’s degree,,,Banking & Financial,,,,,,Manager,,,,,
88,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Disagree,,,Disagree,,,Undecided,,,Agree,,,Undecided,,,Agree,,,35-44 years old,,,Doctorate degree,,,EPES (Electrical Power & Energy Systems),,,,,,IT professional,,,None,,
89,anonymous,,,,,Yes,,,,,,,Desktop;Laptop;Tablet;Smartphone;Other;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Teleconferencing;,,,,,,,Strongly disagree,,,Disagree,,,Disagree,,,Strongly disagree,,,Strongly disagree,,,Strongly agree,,,Agree,,,35-44 years old,,,Doctorate degree,,,Public Sector,,,,,,Manager,,,,,
90,anonymous,,,,,No,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Project/Workflow/Task management;Scheduling;Teleconferencing;,,,,,,,Undecided,,,Disagree,,,Disagree,,,Agree,,,Agree,,,Agree,,,Agree,,,35-44 years old,,,Master’s degree,,,Public Sector,,,,,,Other,,,,,
91,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Direct access,,,,,,,Yes,,,Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Doctorate degree,,,Education & Research,,,,,,Researcher,,,,,
92,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Direct access,,,,,,,No,,,,,,,,,,Disagree,,,Disagree,,,Disagree,,,Agree,,,Agree,,,Agree,,,Agree,,,25-34 years old,,,Bachelor’s degree,,,IT (Information Technology),,,,,,Other,,,,,
93,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Undecided,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,Other,,,E-commerce,,,Other,,,,,
94,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Agree,,,Disagree,,,Disagree,,,Undecided,,,Disagree,,,Agree,,,Agree,,,35-44 years old,,,Doctorate degree,,,Education & Research,,,,,,Researcher,,,,,
95,anonymous,,,,,Yes,,,,,,,Desktop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Strongly agree,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,Other,,,e-commerse,,,Other,,,,,
96,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Disagree,,,Disagree,,,Agree,,,Agree,,,Agree,,,Agree,,,25-34 years old,,,Bachelor’s degree,,,IT (Information Technology),,,,,,IT professional,,,,,
97,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Undecided,,,Agree,,,Strongly agree,,,Agree,,,Agree,,,Agree,,,25-34 years old,,,Master’s degree,,,Other,,,e-commerce,,,Other,,,"I think question 9 ""How do you obtain access to your corporate working environment?"", should be multiple choice, since I use both VPN and a cloud service to connect to various services.
",,
98,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Project/Workflow/Task management;Real-time chatting;,,,,,,,Undecided,,,Undecided,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Bachelor’s degree,,,IT (Information Technology),,,,,,Other,,,,,
99,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,Other,,,E-commerce,,,Manager,,,,,
100,anonymous,,,,,Yes,,,,,,,Desktop;Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Disagree,,,Disagree,,,Undecided,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Doctorate degree,,,Other,,,Ecommerce,,,Other,,,,,
101,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Strongly agree,,,Strongly agree,,,Agree,,,Strongly agree,,,Strongly agree,,,Undecided,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,Other,,,E-commerce,,,Other,,,,,
102,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Disagree,,,Undecided,,,Strongly agree,,,Agree,,,Agree,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,IT (Information Technology),,,,,,IT professional,,,,,
103,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Undecided,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Bachelor’s degree,,,IT (Information Technology),,,,,,IT professional,,,,,
104,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Agree,,,Agree,,,Strongly agree,,,Agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Master’s degree,,,IT (Information Technology),,,,,,IT professional,,,,,
105,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Undecided,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Master’s degree,,,IT (Information Technology),,,,,,Manager,,,,,
106,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Agree,,,Strongly agree,,,Agree,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Bachelor’s degree,,,IT (Information Technology),,,,,,Manager,,,,,
107,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Agree,,,Agree,,,Strongly agree,,,25-34 years old,,,"High school graduate, diploma or the equivalent",,,Other,,,Ecommerce,,,IT professional,,,,,
108,anonymous,,,,,No,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Teleconferencing;,,,,,,,Agree,,,Agree,,,Undecided,,,Strongly agree,,,Agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Doctorate degree,,,Banking & Financial,,,,,,IT professional,,,,,
109,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Disagree,,,Agree,,,Disagree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Trade/technical/vocational training,,,Other,,,Price comparison,,,Manager,,,,,
110,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Disagree,,,Disagree,,,Agree,,,Agree,,,Agree,,,Agree,,,25-34 years old,,,Master’s degree,,,Other,,,E-commerce,,,Other,,,,,
111,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Strongly agree,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Agree,,,Strongly agree,,,25-34 years old,,,Bachelor’s degree,,,Telecommunications,,,,,,IT professional,,,,,
112,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Undecided,,,Disagree,,,Undecided,,,Agree,,,Agree,,,Strongly agree,,,Agree,,,25-34 years old,,,Master’s degree,,,IT (Information Technology),,,,,,Other,,,,,
113,anonymous,,,,,Yes,,,,,,,Desktop;Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Disagree,,,Disagree,,,Agree,,,Agree,,,Agree,,,Agree,,,35-44 years old,,,Bachelor’s degree,,,Education & Research,,,,,,Other,,,,,
114,anonymous,,,,,Yes,,,,,,,Laptop;Tablet;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Undecided,,,Agree,,,Agree,,,Strongly agree,,,45-54 years old,,,Doctorate degree,,,Education & Research,,,,,,Researcher,,,,,
115,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Disagree,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Doctorate degree,,,Education & Research,,,,,,Manager,,,I have been smart working for extensive periods of time also in the past.,,
116,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Agree,,,Strongly agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,25-34 years old,,,Master’s degree,,,IT (Information Technology),,,,,,Manager,,,,,
117,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,Yes,,,Document management;Teleconferencing;,,,,,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Disagree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Bachelor’s degree,,,Other,,,Marketing,,,Other,,,,,
118,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Personal assets,,,,,,,Direct access,,,,,,,No,,,,,,,,,,Strongly agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,25-34 years old,,,Bachelor’s degree,,,IT (Information Technology),,,,,,Other,,,,,
119,anonymous,,,,,No,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Undecided,,,Disagree,,,Disagree,,,Agree,,,Agree,,,Agree,,,Agree,,,35-44 years old,,,Bachelor’s degree,,,IT (Information Technology),,,,,,Manager,,,,,
120,anonymous,,,,,No,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Project/Workflow/Task management;Scheduling;Real-time chatting;,,,,,,,Undecided,,,Undecided,,,Agree,,,Undecided,,,Undecided,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Trade/technical/vocational training,,,IT (Information Technology),,,,,,Manager,,,,,
121,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Agree,,,Agree,,,Disagree,,,Agree,,,Agree,,,Undecided,,,Agree,,,25-34 years old,,,Bachelor’s degree,,,IT (Information Technology),,,,,,Manager,,,,,
122,anonymous,,,,,No,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time chatting;Teleconferencing;,,,,,,,Strongly agree,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,Other,,,Shipping company ,,,Other,,,,,
